Date,Open,High,Low,Close,Adj Close,Volume
2000-05-30,49.5,49.75,48.875,49.5,36.130252838134766,11100
2000-05-31,48.625,49.9375,48.625,48.75,35.58283233642578,6500
2000-06-01,48.6875,49.0625,47.875,47.875,34.944149017333984,5300
2000-06-02,49.9375,49.9375,47.6875,48.5,35.40034484863281,5200
2000-06-05,48.5,48.8125,47.8125,47.8125,34.8985481262207,1500
2000-06-06,47.8125,47.8125,46.0,46.75,34.12302780151367,4800
2000-06-07,47.75,48.0,46.25,46.25,33.75807189941406,2300
2000-06-08,48.375,48.375,46.5,48.0,35.03541564941406,3000
2000-06-09,48.25,48.375,47.0,48.375,35.30910110473633,1200
2000-06-12,46.5,48.375,46.5,48.375,35.30910110473633,300
2000-06-13,47.625,49.0,46.5,48.75,35.58283233642578,3500
2000-06-14,48.75,48.75,47.25,48.375,35.30910110473633,1300
2000-06-15,47.75,48.75,46.0,47.0,34.30550765991211,9500
2000-06-16,47.1875,47.1875,46.0,46.625,34.03178787231445,11300
2000-06-19,46.25,46.25,45.25,45.8125,33.438743591308594,9200
2000-06-20,45.875,46.0,45.5,45.5,33.21064376831055,10700
2000-06-21,44.625,45.75,44.25,45.375,33.11940383911133,17200
2000-06-22,45.375,45.625,44.5,44.5,32.48072814941406,2400
2000-06-23,44.25,46.0,44.25,45.15625,32.95973205566406,5100
2000-06-26,45.0,45.625,44.6875,45.625,33.30189514160156,5400
2000-06-27,45.625,45.625,44.5,44.5,32.48072814941406,6300
2000-06-28,45.625,45.625,43.75,45.625,33.30189514160156,12700
2000-06-29,45.625,46.0,44.5625,46.0,33.575592041015625,7100
2000-06-30,45.25,47.0,41.375,45.5,33.21064376831055,53300
2000-07-03,45.5,47.75,44.375,47.0625,34.351112365722656,4500
2000-07-05,47.3125,47.5,44.5,44.75,32.663204193115234,9300
2000-07-06,47.0,47.0,44.625,46.3125,33.803688049316406,4900
2000-07-07,45.875,46.3125,45.125,45.375,33.11940383911133,4500
2000-07-10,45.4375,46.4375,45.375,46.0,33.575592041015625,3000
2000-07-11,45.5,46.5,45.0,46.5,33.940547943115234,1800
2000-07-12,46.0,46.875,42.25,42.9375,31.340261459350586,11000
2000-07-13,42.9375,44.25,41.1875,42.75,31.203397750854492,14500
2000-07-14,42.5,43.375,42.5,43.375,31.659591674804688,8200
2000-07-17,43.0,43.375,42.625,43.375,31.659591674804688,3900
2000-07-18,43.0,43.25,41.75,42.0,30.65597152709961,5400
2000-07-19,41.875,43.5,41.875,43.0,31.385879516601562,12200
2000-07-20,43.4375,44.25,43.25,44.0,32.11580276489258,12000
2000-07-21,44.0,44.0,43.0625,43.0625,31.43149757385254,3100
2000-07-24,43.0625,43.0625,36.5,39.0,28.466278076171875,10700
2000-07-25,40.5,40.5,38.5625,39.25,28.648733139038086,7500
2000-07-26,41.5,42.0,40.375,42.0,30.65597152709961,6300
2000-07-27,41.875,42.5,40.5,40.5,29.56111717224121,3000
2000-07-28,43.0,43.0,40.9375,40.9375,29.88045310974121,3300
2000-07-31,41.5,44.0,41.0,44.0,32.11580276489258,5700
2000-08-01,44.0,44.0,41.25,44.0,32.11580276489258,6200
2000-08-02,44.0,44.0,41.25,41.25,30.108556747436523,1000
2000-08-03,41.25,44.0,40.25,40.25,29.378646850585938,3100
2000-08-04,41.125,41.25,39.25,39.25,28.648733139038086,5300
2000-08-07,39.4375,41.9375,39.0,39.75,29.013689041137695,6000
2000-08-08,39.0,40.625,39.0,40.625,29.652360916137695,1700
2000-08-09,41.0,41.0,39.75,39.8125,29.05931854248047,3000
2000-08-10,39.75,40.3125,39.0625,39.921875,29.13915252685547,3800
2000-08-11,39.625,40.5,39.375,40.125,29.28740882873535,3200
2000-08-14,41.9375,41.9375,39.875,40.125,29.28740882873535,1100
2000-08-15,41.9375,41.9375,40.0,40.0,29.196168899536133,2200
2000-08-16,41.125,42.0,41.125,42.0,30.84877586364746,4000
2000-08-17,41.5,41.75,40.5,41.5,30.481529235839844,3900
2000-08-18,42.0,42.0,40.625,41.375,30.389711380004883,5300
2000-08-21,40.5,40.625,40.5,40.625,29.83885383605957,3700
2000-08-22,40.625,41.375,40.5625,41.375,30.389711380004883,2600
2000-08-23,41.5,41.5,39.5,40.0,29.379789352416992,7800
2000-08-24,39.875,40.125,39.625,40.125,29.47161102294922,2400
2000-08-25,40.125,40.125,39.8125,40.125,29.47161102294922,2300
2000-08-28,39.9375,40.125,39.75,40.0,29.379789352416992,2300
2000-08-29,39.5,41.125,39.5,40.4375,29.70113754272461,5600
2000-08-30,40.125,40.9375,40.0625,40.0625,29.42569923400879,800
2000-08-31,40.5,41.0,40.0,40.0625,29.42569923400879,4500
2000-09-01,40.875,40.875,40.0,40.8125,29.976560592651367,4100
2000-09-05,40.53125,40.53125,40.125,40.375,29.65523910522461,4000
2000-09-06,40.5,40.5625,40.125,40.125,29.47161102294922,800
2000-09-07,40.5,40.875,40.5,40.875,30.022480010986328,2200
2000-09-08,41.21875,41.21875,40.375,40.375,29.65523910522461,5600
2000-09-11,40.3125,42.0,40.125,42.0,30.84877586364746,4100
2000-09-12,42.09375,42.09375,40.59375,41.1875,30.252012252807617,9200
2000-09-13,41.25,41.25,40.5625,40.625,29.83885383605957,4300
2000-09-14,41.0,41.0,40.3125,40.4375,29.70113754272461,1500
2000-09-15,40.375,41.1875,40.125,40.9375,30.068378448486328,5400
2000-09-18,40.4375,41.25,40.375,41.25,30.29791831970215,9500
2000-09-19,40.625,41.1875,40.375,40.5,29.747037887573242,8900
2000-09-20,40.0,40.5625,40.0,40.125,29.47161102294922,1600
2000-09-21,40.0,40.5,40.0,40.0,29.379789352416992,700
2000-09-22,40.375,41.25,40.0,40.0625,29.42569923400879,5500
2000-09-25,40.0625,40.625,38.9375,39.75,29.196168899536133,6400
2000-09-26,38.25,39.8125,38.25,39.8125,29.242082595825195,14900
2000-09-27,40.875,40.9375,39.9375,40.0,29.379789352416992,5200
2000-09-28,40.75,40.875,39.4375,40.8125,29.976560592651367,11900
2000-09-29,40.09375,42.078125,39.25,41.9375,30.802886962890625,17100
2000-10-02,41.59375,42.0,40.75,40.75,29.930652618408203,4200
2000-10-03,41.28125,41.875,40.625,41.125,30.206106185913086,4500
2000-10-04,41.125,41.375,40.3125,40.875,30.022480010986328,1100
2000-10-05,40.6875,41.0625,40.5625,40.5625,29.792936325073242,700
2000-10-06,40.0,40.0,38.0,39.5,29.012542724609375,10600
2000-10-09,41.25,41.25,38.625,38.8125,28.50758171081543,1900
2000-10-10,39.375,41.0,39.25,40.9375,30.068378448486328,3500
2000-10-11,38.25,39.375,38.25,39.375,28.92072868347168,1400
2000-10-12,38.3125,41.0,38.3125,41.0,30.114286422729492,1500
2000-10-13,40.9375,41.0,39.9375,40.5,29.747037887573242,2000
2000-10-16,40.5,40.515625,39.0,39.9375,29.333879470825195,2400
2000-10-17,39.0,41.25,39.0,41.25,30.29791831970215,4100
2000-10-18,41.71875,41.75,39.5,40.0,29.379789352416992,8100
2000-10-19,38.875,39.625,33.0,36.75,26.992687225341797,9800
2000-10-20,37.875,40.75,36.5,37.625,27.6353702545166,11200
2000-10-23,38.3125,38.625,37.5,38.625,28.369857788085938,15600
2000-10-24,38.6875,38.6875,37.0,37.0,27.17630386352539,3800
2000-10-25,38.25,39.5,36.1875,36.1875,26.579530715942383,4600
2000-10-26,38.375,38.375,36.375,36.5,26.80905532836914,4300
2000-10-27,36.8125,37.25,35.125,35.75,26.258182525634766,2800
2000-10-30,37.9375,37.9375,34.125,34.8125,25.569608688354492,1700
2000-10-31,35.0,37.0,33.8125,36.0,26.441810607910156,15000
2000-11-01,36.0,36.0625,34.375,34.5,25.34008026123047,8400
2000-11-02,34.8125,35.125,34.25,34.25,25.156452178955078,5700
2000-11-03,36.375,36.5,34.0,34.125,25.06464195251465,10400
2000-11-06,34.65625,35.75,33.0,33.125,24.330137252807617,8800
2000-11-07,34.21875,35.0,33.625,34.0,24.972824096679688,2500
2000-11-08,34.96875,35.0,32.5,32.5,23.87108039855957,9400
2000-11-09,34.0,34.0,32.046875,33.0,24.238327026367188,15300
2000-11-10,33.75,35.0,32.5,33.875,24.88101577758789,16800
2000-11-13,34.0,34.5,33.0,33.0,24.238327026367188,8800
2000-11-14,34.125,34.875,33.0,34.171875,25.099061965942383,6400
2000-11-15,35.125,35.5,33.125,33.125,24.50944709777832,9100
2000-11-16,33.875,33.953125,33.1875,33.375,24.69443130493164,4600
2000-11-17,33.71875,34.0,33.375,33.9375,25.110628128051758,4300
2000-11-20,35.375,35.375,33.875,34.5,25.526836395263672,4600
2000-11-21,35.15625,35.15625,34.5625,35.0,25.89676856994629,9600
2000-11-22,35.25,35.25,34.3125,34.3125,25.388097763061523,3200
2000-11-24,35.0,35.25,34.3125,35.25,26.081764221191406,3700
2000-11-27,34.78125,35.25,34.3125,35.21875,26.058643341064453,4100
2000-11-28,34.0,35.3125,34.0,34.9375,25.85051727294922,16100
2000-11-29,34.0625,35.1875,33.8125,34.0,25.156869888305664,2700
2000-11-30,34.9375,34.9375,34.0,34.125,25.24936294555664,7700
2000-12-01,34.4375,35.75,33.875,35.75,26.451704025268555,11500
2000-12-04,35.875,35.875,34.6875,35.5625,26.31298065185547,5600
2000-12-05,35.875,36.0,35.5,35.5,26.266721725463867,3800
2000-12-06,35.0625,36.3125,35.0,35.25,26.081764221191406,5900
2000-12-07,35.1875,37.0,35.1875,36.9375,27.330347061157227,9100
2000-12-08,36.375,37.625,35.375,37.625,27.83903694152832,11300
